station,catchment,zone,sample_date,year,month,season,ec_us_cm,total_n_mg_l,nox_n_mg_l,total_p_mg_l,reactive_p_mg_l,tss_mg_l,turbidity_ntu,do_sat_pct,ph,risk_score,high_concern,turbidity_ntu_bad,tss_mg_l_bad,total_n_mg_l_bad,total_p_mg_l_bad,do_sat_pct_bad,next_month_high_concern
CLARENCE RIVER AT PADDYS FLAT,Clarence,North Coast,2016-06-28 09:25:00,2016,6,winter,190.0,1.1,0.38,0.059,0.014,10.0,22.0,,,1,0.0,0,0,1,0,0,1.0
RICHMOND RIVER AT CASINO,Richmond,Far North Coast,2016-06-28 11:45:00,2016,6,winter,230.0,1.1,0.42,0.24,0.14,13.0,34.0,,,3,1.0,1,0,1,1,0,0.0
RICHMOND RIVER AT WIANGAREE,Richmond,Far North Coast,2016-06-28 13:00:00,2016,6,winter,230.0,0.6,0.26,0.095,0.071,10.0,6.1,,,0,0.0,0,0,0,0,0,0.0
OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,2016-06-28 14:30:00,2016,6,winter,150.0,0.37,0.11,0.048,0.031,10.0,5.4,,,0,0.0,0,0,0,0,0,0.0
CLYDE RIVER AT BROOMAN,Clyde,South Coast,2016-07-11 12:04:00,2016,7,winter,84.0,0.28,0.04,0.01,0.005,90.0,2.8,94.3,6.1,1,0.0,0,1,0,0,0,0.0
DEUA RIVER AT RIVERVIEW,Moruya,South Coast,2016-07-11 14:26:00,2016,7,winter,120.0,0.17,0.07,0.01,0.005,10.0,3.1,94.8,7.1,0,0.0,0,0,0,0,0,0.0
TUROSS RIVER AT NERRIGUNDAH MOUNTAIN RD BRIDGE,Tuross,South coast,2016-07-11 15:31:00,2016,7,winter,80.0,0.32,0.07,0.02,0.005,10.0,3.8,96.1,6.7,0,0.0,0,0,0,0,0,0.0
BROGO RIVER AT ANGLEDALE,Bega,South Coast,2016-07-12 09:02:00,2016,7,winter,98.0,0.34,0.1,0.025,0.006,10.0,4.1,92.0,7.0,0,0.0,0,0,0,0,0,0.0
BEMBOKE RIVER AT POLACKS FLAT ROAD,Bega,South coast,2016-07-12 10:04:00,2016,7,winter,110.0,0.33,0.16,0.021,0.005,10.0,3.1,100.0,7.6,0,0.0,0,0,0,0,0,0.0
TOWAMBA RIVER AT TOWAMBA VILLAGE,Towamba,South coast,2016-07-12 12:02:00,2016,7,winter,130.0,0.52,0.1,0.027,0.005,10.0,23.1,96.5,7.1,0,0.0,0,0,0,0,0,0.0
HUNTER RIVER AT MUSWELLBROOK,Hunter,Hunter,2016-07-12 12:30:00,2016,7,winter,400.0,0.61,0.26,0.11,0.055,14.0,15.0,86.6,8.2,0,0.0,0,0,0,0,0,0.0
LITTLE PLAINS RIVER AT WELLESLEY (ROWES),Snowy,South Coast,2016-07-12 13:57:00,2016,7,winter,83.0,0.82,0.13,0.043,0.005,15.0,23.0,92.1,6.1,0,0.0,0,0,0,0,0,0.0
HUNTER RIVER AT MOONAN FLAT,Hunter,Hunter,2016-07-12 14:30:00,2016,7,winter,140.0,0.27,0.09,0.048,0.017,10.0,7.8,93.5,8.3,0,0.0,0,0,0,0,0,0.0
HUNTER RIVER AT MUSWELLBROOK,Hunter,Hunter,2016-08-09 12:40:00,2016,8,winter,,,,,,,15.1,90.4,7.9,0,0.0,0,0,0,0,0,0.0
HUNTER RIVER AT MOONAN FLAT,Hunter,Hunter,2016-08-09 14:40:00,2016,8,winter,,,,,,,4.3,102.0,8.4,0,0.0,0,0,0,0,0,0.0
NYMBOIDA RIVER AT NYMBOIDA,Clarence,North Coast,2016-08-17 11:09:00,2016,8,winter,62.0,0.21,0.09,0.02,0.007,10.0,3.1,97.0,7.0,0,0.0,0,0,0,0,0,0.0
CLARENCE RIVER AT LILYDALE BRIDGE,Clarence,North Coast,2016-08-17 13:09:00,2016,8,winter,95.0,0.46,0.14,0.024,0.008,10.0,7.0,109.0,7.3,0,0.0,0,0,0,0,0,0.0
CLARENCE RIVER AT PADDYS FLAT,Clarence,North Coast,2016-08-18 10:53:00,2016,8,winter,210.0,0.36,0.01,0.02,0.005,10.0,3.1,99.0,7.5,0,0.0,0,0,0,0,0,0.0
RICHMOND RIVER AT CASINO,Richmond,Far North Coast,2016-08-18 12:27:00,2016,8,winter,260.0,0.52,0.19,0.15,0.11,10.0,16.9,108.0,7.8,1,0.0,0,0,0,1,0,0.0
RICHMOND RIVER AT WIANGAREE,Richmond,Far North Coast,2016-08-18 13:37:00,2016,8,winter,220.0,0.19,0.04,0.07,0.053,10.0,3.3,103.0,8.0,0,0.0,0,0,0,0,0,0.0
OXLEY RIVER AT UPSTREAM EUNGELLA (MCKENZIES BRIDGE),Tweed,Far North Coast,2016-08-18 15:06:00,2016,8,winter,190.0,0.21,0.03,0.04,0.024,10.0,4.3,103.0,7.4,0,0.0,0,0,0,0,0,0.0
BELLINGER RIVER AT BELLINGEN,Bellinger,North Coast,2016-08-19 12:42:00,2016,8,winter,71.0,0.15,0.05,0.02,0.006,10.0,4.0,105.0,7.5,0,0.0,0,0,0,0,0,0.0
CLYDE RIVER AT BROOMAN,Clyde,South Coast,2016-08-22 14:27:00,2016,8,winter,110.0,0.17,0.05,0.01,0.005,10.0,1.1,91.0,6.4,0,0.0,0,0,0,0,0,0.0
